Name,APOE4_Score,hERG_Score,CYP3A4_Score,Pgp_Score,Verdict
DKP1_THP,-9.964,-13.08,-9.861,-9.191,❌ TOXIC (FAILED)
Tadalafil_Ghost,-9.688,-12.88,-10.61,-9.432,❌ TOXIC (FAILED)
DKP2_Arg112,-9.546,-11.72,-8.938,-8.198,❌ TOXIC (FAILED)
Tadalafil_Arg112,-9.487,-12.22,-9.424,-8.944,❌ TOXIC (FAILED)
DKP1_Ghost,-9.326,-11.23,-9.928,-8.704,❌ TOXIC (FAILED)
Carboline_Trojan,-9.306,-12.39,-9.397,-8.709,❌ TOXIC (FAILED)
Tricyclic_Trojan,-9.245,-12.71,-10.69,-9.237,❌ TOXIC (FAILED)
Tadalafil_THP,-9.237,-11.82,-9.242,-9.251,❌ TOXIC (FAILED)
DKP1_Arg112,-9.153,-12.14,-10.35,-8.612,❌ TOXIC (FAILED)
DKP2_Ghost,-9.055,-11.31,-8.622,-7.696,❌ TOXIC (FAILED)
Carboline_Ghost,-8.899,-11.93,-9.041,-7.799,❌ TOXIC (FAILED)
DKP2_Trojan,-8.848,-11.16,-8.672,-7.775,❌ TOXIC (FAILED)
Carboline_THP,-8.834,-10.89,-8.751,-7.591,❌ TOXIC (FAILED)
DKP2_THP,-8.795,-11.99,-9.473,-8.651,❌ TOXIC (FAILED)
DKP1_Trojan,-8.782,-11.44,-9.293,-8.121,❌ TOXIC (FAILED)
Tadalafil_Trojan,-8.713,-12.64,-10.63,-9.506,❌ TOXIC (FAILED)
DKP1_Min,-8.561,-12.28,-9.447,-9.235,❌ TOXIC (FAILED)
Carboline_Arg112,-8.504,-10.56,-8.545,-7.614,❌ TOXIC (FAILED)
Tricyclic_Arg112,-8.46,-13.02,-11.72,-9.944,❌ TOXIC (FAILED)
DKP2_Min,-8.325,-11.62,-9.009,-8.104,❌ TOXIC (FAILED)
Tricyclic_Ghost,-8.296,-13.36,-11.79,-9.411,❌ TOXIC (FAILED)
Tadalafil_Min,-8.151,-11.61,-8.681,-8.414,❌ TOXIC (FAILED)
Carboline_Min,-8.143,-10.6,-8.057,-7.894,❌ TOXIC (FAILED)
Tricyclic_THP,-8.122,-11.75,-9.984,-8.151,❌ TOXIC (FAILED)
Tricyclic_Min,-7.979,-10.46,-8.266,-7.949,❌ TOXIC (FAILED)
